validto (UTC),capacity (kW) aardgas,percentage aardgas,capacity (kW) afval,percentage afval,capacity (kW) biomassa,percentage biomassa,capacity (kW) electriciteitsmix,percentage electriciteitsmix,capacity (kW) kernenergie,percentage kernenergie,capacity (kW) overig,percentage overig,capacity (kW) steenkool,percentage steenkool,capacity (kW) wind,percentage wind,capacity (kW) wkk,percentage wkk,capacity (kW) zeewind,percentage zeewind,capacity (kW) zon,percentage zon
2024-10-11 16:00:00,4835000,0,278500,0.35705101490021,340251,0.34025123715401,14835264,0.40618950128555,479000,0.98762899637222,221000,1,1112499,2.2249975204468,1282488,0.198158249259,2040969,0,677500,0.16293899714947,3568057,0.15576300024986
2024-10-11 17:00:00,5912500,0,273000,0.34999999403954,379893,0.3798919916153,13299542,0.36413750052452,479000,0.98762899637222,221000,1,1242107,2.4842150211334,758316,0.11716737598181,2260253,0,586250,0.14099325239658,1187223,0.051827326416969
2024-10-11 18:00:00,5966250,0,265750,0.34070551395416,424977,0.42497774958611,11860054,0.3247210085392,479000,0.98762899637222,221000,1,1389523,2.7790451049805,314313,0.048564150929451,2317742,0,481499,0.11580075323582,0,0.0
2024-10-11 19:00:00,5730500,0,262376,0.33637800812721,426149,0.42614874243736,11490714,0.31460499763489,479500,0.9886599779129,221000,1,1393351,2.7867000102997,268639,0.041506849229336,2248699,0,460500,0.11075049638748,0,0.0
2024-10-11 20:00:00,5165000,0,260750,0.33429449796677,428725,0.42872500419617,10740459,0.29406049847603,479250,0.98814451694489,221000,1,1401775,2.8035500049591,204926,0.031662475317717,2086783,0,492250,0.11838625371456,0,0.0
2024-10-11 21:00:00,3857250,0,254750,0.32660248875618,426032,0.42603150010109,9238334,0.25293150544167,479000,0.98762899637222,221000,1,1392968,2.7859375476837,176627,0.027289900928736,1851207,0,579500,0.13936999440193,0,0.0
2024-10-11 22:00:00,2505500,0,252500,0.32371801137924,413268,0.41326698660851,7831669,0.21441625058651,479000,0.98762899637222,221000,1,1351232,2.7024674415588,212955,0.032902598381042,1606964,0,789250,0.18981474637985,0,0.0
2024-10-11 23:00:00,1600500,0,256126,0.32836550474167,340779,0.34077826142311,6646128,0.18195675313473,479000,0.98762899637222,221000,1,1114221,2.2284450531006,196736,0.030396500602365,1435515,0,1002251,0.24104174971581,0,0.0
2024-10-12 00:00:00,1083500,0,254626,0.3264422416687,317708,0.31770849227905,6102750,0.16707825660706,479250,0.98814451694489,221000,1,1038792,2.0775849819183,291578,0.045049626380205,1361795,0,1054501,0.25360774993896,0,0.0
2024-10-12 01:00:00,1039750,0,251626,0.32259625196457,287436,0.28743675351143,5990965,0.16401599347591,479000,0.98762899637222,221000,1,939814,1.8796249628067,418464,0.064653500914574,1369625,0,984250,0.236712500453,0,0.0
